After splitsvilla x2 shrey & priyamvada
Who came after listening in splitsvilla 12 shrey and priyamvada song♥️♥️♥️
Came after listening Rashmi Desai journey in bigg boss💋💋
obviously after tiktok🙈 anyone else.....??
wow nice song😇😇
After splitsvilla X2 🌹❤
Here after tiktok ❤
Thanks to Splitsvilla 😂😂😂😂 Came here for this song and I'm obsessed now ❤❤❤❤
Life ki new positive journey..start with this song...this song only for me🤣😎😎😎😍😘😘
Malayalis arelum udel like cheyyuu...... Superb Song😘😘
I came after listening in splitsvilla n I'm loving it
I.feel New
Who is listening this song now in 2020
👇👇👇👇
Came after listening it in splitsvilla ❤️
Love this song❤️❤️❤️❤️
I am loving this song❣
And shrey and priyamada ❣❣
After splitvila this song here listen nice song
Wowwwwww nyc song ❤️
Nice song 👍👌👌👌
CLASSIC TOUCH IN SONG...
I Love This song
Thanks too my jaan new year p ye song sunya ta♥️♥️✨✨🥰🥰🥰
I love this song ❤️❤️❤️❤️❤️❤️❤️😍❤️😍😍😍❤️❤️❤️💙💙💙💙😍❤️
Love u song
🙏🙏🙏
I love this song
💖💖💖💖💖💖💖💖🤷🤷🤷🤷💞😘😘😘😘😘
Finally an original song....
This is song nice I love
Every one is here after splitsvilla❤️
Nice song wah
My favourite song
Can any one tell me yesterday in bigg boss vikand ka vaar song promotion. which is the song(21 Dec)
🧕❤🧔oooooooooooooooosem
May love song
I love thai song 😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘
Nice song🙂🙂😯
After zee rishtey awards..
good 👌 t
Wonderful 💖
Lovely  💓💕💞
Reminds me of shrey and priyum 😋❣️
Nice susant singh
Found full of fun and love,loved it
Hi
What language is it?
After biggboss
nice song
😍😍😍😍😍❤❤
What does it mean makhna?
I like it
I like this song
Favourite song🧐😁💏💝💝
After sidnaaz moment
Nice song
I have listened this song in splitsvilla12
Superbbbbbb songgggg yrrrrr
and I love you
I have listen this song 100 times.I love this song very very very much
Fully enjoy
Saniya Thakur
Nice song
Nice song🎶🎤🎤🎤🎤🎶🎵🎤🎤🎤🎤🎤🎤🎤🎶🎶🎶🎶🎶
Luv it
Very Nice and good
Lovely song
Best song for listening and dancing if you agree like please
Sayed meri laif bhi aesi ho🧔❤🧕
Wow good
Naice song an video
Superhit song 💕
😁😁😀😀😃😄😅
Only after splitsvilla
Osam song
After splitsvilla ...n song is vry 😍
Who kya baat nice sog
Wow
Lyrics makhna https://youtu.be/Bvj_tpQp9ss
car drive krte ye song me bohth sunta hu best h🤙👌
Kati ghar song
Very good
Awesome ❤
Wow so nice song l really love this song so nice👌👌👌
Jitni bar bhi ye song sunlo bore nhi hote 🥰🥰🥰
All I can say is that this song is MOOD AF❤❤
This is a very nice song and dance Please send you photo
I love this song
Lovely song 👌👌😘
Nice
To
Osm
😍😘😘
Very nice
Love#shreynpriyam😍😘
SUPER
I love this song
I saw Israel flag.
Nice song 🤘🤙👌
I love this song 😍😘😙
Shrey and pri🤗😘😘
Hii
Nice song
I love this song.......
😘😘😘😘
Very nice song
nice
My favourite song 😘😘😘😘
My favorite  song
Nice song
Am I the only who came after hearing this song someone's Caller tune.....🤗🤗
Good song
Bekar song hai😏😏😏😏😏
Nice
Nice song yrr
Thanks for this song because splisvilla
Betar hai
After B.B ♥️😋
Nice song
I love this song
Ear torture with the auto tune!!
Nice song
I love this song
Nice song 👌👌
Is this tune copied from pakistani serial khoobsurat? 🤔
Nice.song.lik.u
Bakwas song 😶😶😶😶😶😪
Starting me ascha laga female voice baad me pura bekar.. Jitna atcha lga utna hi diya splitsvilla me
